time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1650972406490,ECE 100,A02,091916,Baghdadchi; Saharnaz,5,0,20,15
1650972412520,ECE 101,A01,084053,Baghdadchi; Saharnaz,1,0,37,36
1650972412520,ECE 101,A02,084054,Baghdadchi; Saharnaz,14,0,37,23
1650972418553,ECE 107,A01,083390,Staff,22,0,40,18
1650972424586,ECE 148,A01,084056,Silberman; Jack,2,0,12,10
1650972430621,ECE 180,A00,083391,Abi Samra; Nicholas Camill,22,0,30,8
1650972430621,ECE 180,B00,083392,Abi Samra; Nicholas Camill,14,0,30,16
1650972436650,MATH 10A,A01,093431,Staff,0,1,0,0
1650972442685,MATH 10B,A01,084110,Staff,0,1,30,30
1650972442685,MATH 10B,A02,084111,Staff,0,1,30,30
1650972442685,MATH 10B,A03,084112,Staff,12,0,30,18
1650972448720,MATH 10C,A01,083443,Staff,0,28,30,31
1650972448720,MATH 10C,A02,083444,Staff,0,26,30,30
1650972448720,MATH 10C,B01,084114,Staff,6,0,30,24
1650972448720,MATH 10C,B02,084115,Staff,22,0,30,8
1650972454761,MATH 18,A01,084117,Harel; Guershon,0,0,30,30
1650972454761,MATH 18,A02,084119,Harel; Guershon,26,0,30,4
1650972454761,MATH 18,A03,084120,Harel; Guershon,30,0,30,0
1650972454761,MATH 18,A04,084121,Harel; Guershon,26,0,30,4
1650972460794,MATH 20A,A01,093429,Staff,0,0,0,0
1650972466824,MATH 20B,A01,084124,Um; Ko Woon,0,4,35,35
1650972466824,MATH 20B,B01,084126,Um; Ko Woon,0,1,35,35
1650972472855,MATH 20C,A01,083446,Hammock; Frances H,0,0,30,30
1650972472855,MATH 20C,A02,083447,Hammock; Frances H,0,0,30,30
1650972472855,MATH 20C,A03,083448,Hammock; Frances H,5,0,30,25
1650972472855,MATH 20C,A04,083449,Hammock; Frances H,8,0,30,22
1650972472855,MATH 20C,B01,083451,Hammock; Frances H,0,0,30,30
1650972472855,MATH 20C,B02,083452,Hammock; Frances H,6,0,30,24
1650972472855,MATH 20C,B03,083453,Hammock; Frances H,12,0,30,18
1650972472855,MATH 20C,B04,083454,Hammock; Frances H,20,0,30,10
1650972478887,MATH 20D,A01,084128,Staff,7,0,30,23
1650972478887,MATH 20D,A02,084129,Staff,28,0,30,2
1650972478887,MATH 20D,A03,084130,Staff,25,0,30,5
1650972478887,MATH 20D,B01,084133,Staff,0,0,30,30
1650972478887,MATH 20D,B02,084134,Staff,16,0,30,14
1650972478887,MATH 20D,B03,084135,Staff,28,0,30,2
